"","lon","lat","species"
"1",-97.225139,49.820335,"Diplodia tumefaciens"
"2",-97.244655,49.854683,"Diplodia tumefaciens"
"3",-93.70418,46.05582,"Diplodia tumefaciens"
"4",-97.541048,50.128965,"Diplodia tumefaciens"
"5",-97.541007,50.12908,"Diplodia tumefaciens"
"7",12.219973,56.047799,"Diplodia alni"
"8",12.323538,55.931137,"Diplodia rudis"
"9",12.562652,55.700336,"Diplodia taxi"
"10",15.111598,55.02487,"Diplodia taxi"
"11",50.08392,58.569143,"Diplodia tumefaciens"
"12",-99.598404,49.594926,"Diplodia tumefaciens"
"13",-95.617502,50.112684,"Diplodia tumefaciens"
"14",-149.7576,61.03045,"Diplodia tumefaciens"
"15",-96.845311,50.087747,"Diplodia tumefaciens"
"16",50.118839,58.550194,"Diplodia tumefaciens"
"17",-96.844815,50.008032,"Diplodia tumefaciens"
"18",12.564183,55.703026,"Diplodia taxi"
"19",-148.328977,64.878408,"Diplodia tumefaciens"
"20",12.338815,55.927805,"Diplodia lonicerae"
"21",12.534907,54.987575,"Diplodia juniperi"
"23",8.46478,47.37378,"Diplodia ligustri"
"24",-118.118141,52.868969,"Diplodia tumefaciens"
"25",60.633584,56.849387,"Diplodia tumefaciens"
"26",8.66647,47.50674,"Diplodia mutila"
"27",8.73283,47.50602,"Diplodia mutila"
"28",-89.553166,48.395758,"Diplodia tumefaciens"
"29",-149.955808,60.485339,"Diplodia tumefaciens"
"30",-120.780403,51.166594,"Diplodia tumefaciens"
"32",8.31975,46.61035,"Diplodia pyrenophora"
"33",-94.643496,49.835058,"Diplodia tumefaciens"
"34",-149.229419,61.562592,"Diplodia tumefaciens"
"35",-119.364917,52.975108,"Diplodia tumefaciens"
"36",-148.943868,63.732309,"Diplodia tumefaciens"
"37",-80.93026,46.46043,"Diplodia tumefaciens"
"38",-120.04763,38.919828,"Diplodia tumefaciens"
"39",-78.725634,44.098844,"Diplodia tumefaciens"
"40",24.72418,60.312017,"Diplodia tumefaciens"
"41",-68.169099,46.130281,"Diplodia tumefaciens"
"42",-96.902993,50.019972,"Diplodia tumefaciens"
"43",18.114392,59.295538,"Diplodia tumefaciens"
"44",-95.20685,49.698414,"Diplodia tumefaciens"
"45",18.115996,59.29764,"Diplodia tumefaciens"
"46",10.494675,59.832462,"Diplodia pyrenophora"
"47",-97.01362,50.685484,"Diplodia tumefaciens"
"48",12.048707,55.614474,"Diplodia rosarum"
"49",-135.826898,60.866888,"Diplodia tumefaciens"
"50",-150.03299,61.14444,"Diplodia tumefaciens"
"51",12.40581,55.781159,"Diplodia aesculi"
"52",-114.254219,51.121635,"Diplodia tumefaciens"
"53",76.912468,43.219795,"Diplodia tumefaciens"
"54",-67.163889,45.726813,"Diplodia tumefaciens"
"56",12.555314,55.715472,"Diplodia mamillana"
"57",-74.680072,39.460553,"Diplodia tumefaciens"
"58",-123.502917,48.551223,"Diplodia tumefaciens"
"59",7.53719,46.97353,"Diplodia tiliae"
"61",10.182041,56.87093,"Diplodia sorbi"
"62",12.277168,55.958666,"Diplodia lonicerae"
"63",80.36,41.29,"Diplodia seriata"
"64",-151.095278,60.437985,"Diplodia tumefaciens"
"66",-2.800524,52.293913,"Diplodia ilicicola"
"67",-94.94669,46.7893,"Diplodia tumefaciens"
"68",-79.7859,39.6582,"Diplodia corticola"
"70",-122.24,37.89,"Diplodia mutila"
"71",-151.058902,60.465627,"Diplodia tumefaciens"
"73",-38,-9,"Diplodia galiicola"
"74",10.89,34.98,"Diplodia seriata"
"76",73.43,61.25,"Diplodia pyrenophora"
"77",73.43,61.25,"Diplodia melaena"
"81",11.205118,60.7487,"Diplodia juniperi"
"82",8.68979,58.423435,"Diplodia pyrenophora"
"83",-38.266667,-9.650009,"Diplodia euterpes"
"84",12.47903,55.81324,"Diplodia melaena"
"85",150.265414,-33.659823,"Diplodia mutila"
"87",150.267756,-33.652613,"Diplodia mutila"
"89",150.268179,-33.652818,"Diplodia mutila"
"90",8.5,49.5,"Diplodia ilicicola"
"91",-70.39,43.46,"Diplodia corticola"
"95",102.25,25.26,"Diplodia seriata"
"98",174.6312,-36.8811,"Diplodia mutila"
"99",112.48,33.02,"Diplodia seriata"
"100",7.00937,47.24261,"Diplodia pyrenophora"
"101",11.1608,59.9317,"Diplodia melaena"
"103",8.694686,58.426478,"Diplodia taxi"
"104",8.861162,58.444855,"Diplodia pyrenophora"
"108",119.16,30.24,"Diplodia seriata"
"123",8.4,49,"Diplodia taxi"
"127",172.738468,-43.58748,"Diplodia sophorae"
"131",178.018865,-38.661371,"Diplodia sophorae"
"132",174.845,-36.945278,"Diplodia mutila"
"133",15.40833,47.04167,"Diplodia ligustri"
"134",8.96342,46.28864,"Diplodia mutila"
"135",28.99402,62.7207,"Diplodia pyrenophora"
"138",7.6047,47.5581,"Diplodia sophorae"
"139",7.20904,46.88339,"Diplodia lonicerae"
"140",7.20904,46.88339,"Diplodia mamillana"
"141",13.90833,47.075,"Diplodia pyrenophora"
"142",7.6047,47.5581,"Diplodia taxi"
"143",7.6047,47.5581,"Diplodia hederae"
"144",7.6047,47.5581,"Diplodia atrata"
"145",7.6047,47.5581,"Diplodia buxi"
"147",7.6047,47.5581,"Diplodia tiliae"
"150",12.45,55.65,"Diplodia melaena"
"151",7.47149,46.97357,"Diplodia annonae"
"152",-2.073966,51.833588,"Diplodia ilicicola"
"153",12.45,55.65,"Diplodia ligustri"
"154",7.6047,47.5581,"Diplodia ilicicola"
"156",-2.077249,53.721383,"Diplodia ilicicola"
"157",-99.318889,39.550833,"Diplodia alatafructa"
"162",22.981111,-34.083611,"Diplodia alatafructa"
"163",21.872778,-33.505833,"Diplodia alatafructa"
"166",-0.316058,52.271138,"Diplodia rubi"
"167",-2.807609,52.280379,"Diplodia ilicicola"
"329",-2.510343,51.922413,"Diplodia rubi"
"330",-2.659707,52.191393,"Diplodia rubi"
"332",-1.615211,54.529668,"Diplodia rosarum"
"334",-5.635796,56.27398,"Diplodia ilicicola"
"335",-5.614295,56.273037,"Diplodia ilicicola"
"338",-5.178926,58.241586,"Diplodia pyrenophora"
"340",-1.615211,54.529668,"Diplodia sarothamni"
"341",0.081484,51.365561,"Diplodia laurina"
"342",-0.349238,51.372422,"Diplodia faginea"
"347",-0.349238,51.372422,"Diplodia melaena"
"349",-0.94,38.09,"Diplodia rosmarini"
"350",-1.615211,54.529668,"Diplodia rubi"
"352",-0.202123,51.460183,"Diplodia magnoliae"
"353",-1.615211,54.529668,"Diplodia buxi"
"355",-0.202123,51.460183,"Diplodia sycina"
"356",-0.349238,51.372422,"Diplodia ilicicola"
"358",-0.202123,51.460183,"Diplodia tecta"
"359",-1.615211,54.529668,"Diplodia tiliae"
"360",7.86933,47.42251,"Diplodia pyrenophora"
