"","lon","lat","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",-97.225139,49.820335,"Diplodia tumefaciens",2.2,116,23,13177,258,-238,496,180,-159,180,-159,517,83,17,53,231,59,231,59
"2",-97.244655,49.854683,"Diplodia tumefaciens",2.1,116,23,13181,257,-239,496,179,-160,179,-160,519,83,17,53,232,59,232,59
"3",-93.70418,46.05582,"Diplodia tumefaciens",4.4,126,26,11933,271,-207,478,189,-121,189,-121,732,112,16,53,313,61,313,61
"4",-97.541048,50.128965,"Diplodia tumefaciens",1.8,122,24,13281,258,-247,505,176,-166,176,-166,518,80,18,50,228,62,228,62
"5",-97.541007,50.12908,"Diplodia tumefaciens",1.8,122,24,13281,258,-247,505,176,-166,176,-166,518,80,18,50,228,62,228,62
"7",12.219973,56.047799,"Diplodia alni",7.8,61,24,6377,195,-53,248,155,20,159,-3,625,69,29,24,201,105,189,114
"8",12.323538,55.931137,"Diplodia rudis",7.9,63,25,6295,199,-44,243,155,23,160,1,627,69,30,23,199,108,188,117
"9",12.562652,55.700336,"Diplodia taxi",8.5,63,27,6205,211,-19,230,159,32,166,10,622,67,34,20,192,113,183,141
"10",15.111598,55.02487,"Diplodia taxi",7.8,54,25,6002,198,-18,216,96,21,157,7,567,62,30,22,176,104,151,108
"11",50.08392,58.569143,"Diplodia tumefaciens",2.7,74,18,11216,233,-172,405,168,-42,168,-121,623,85,25,34,218,89,218,107
"12",-99.598404,49.594926,"Diplodia tumefaciens",2.6,130,25,12903,270,-240,510,182,-119,182,-149,449,73,15,57,208,49,208,49
"13",-95.617502,50.112684,"Diplodia tumefaciens",2.1,104,21,12977,250,-235,485,177,-158,177,-158,535,85,17,51,233,63,233,63
"14",-149.7576,61.03045,"Diplodia tumefaciens",1.8,80,25,8421,181,-136,317,74,15,127,-86,538,84,22,42,221,71,154,120
"15",-96.845311,50.087747,"Diplodia tumefaciens",1.9,116,23,13176,255,-241,496,177,-163,177,-163,519,82,17,51,228,62,228,62
"16",50.118839,58.550194,"Diplodia tumefaciens",2.7,74,18,11216,233,-172,405,168,-42,168,-121,623,85,25,34,218,89,218,107
"17",-96.844815,50.008032,"Diplodia tumefaciens",1.9,115,23,13132,253,-241,494,176,-162,176,-162,523,83,17,52,231,62,231,62
"18",12.564183,55.703026,"Diplodia taxi",8.5,63,27,6205,211,-19,230,159,32,166,10,622,67,34,20,192,113,183,141
"19",-148.328977,64.878408,"Diplodia tumefaciens",-3.9,109,22,14097,216,-272,488,138,-118,138,-218,295,56,7,66,153,28,153,42
"20",12.338815,55.927805,"Diplodia lonicerae",7.9,63,25,6290,200,-43,243,155,23,160,0,629,69,30,23,200,108,189,117
"21",12.534907,54.987575,"Diplodia juniperi",7.8,59,25,6002,196,-31,227,151,25,156,5,584,63,32,19,179,108,174,129
"23",8.46478,47.37378,"Diplodia ligustri",8.4,76,30,6243,222,-30,252,163,15,163,3,1152,139,72,25,400,218,400,223
"24",-118.118141,52.868969,"Diplodia tumefaciens",2.1,118,31,8680,211,-166,377,128,-27,128,-94,503,64,24,32,187,77,187,107
"25",60.633584,56.849387,"Diplodia tumefaciens",2.4,89,21,11521,240,-179,419,169,-105,169,-128,506,85,16,50,223,59,223,68
"26",8.66647,47.50674,"Diplodia mutila",8.9,80,31,6376,231,-27,258,169,18,169,6,1068,125,65,24,365,202,365,211
"27",8.73283,47.50602,"Diplodia mutila",9.1,80,30,6409,233,-26,259,171,20,171,7,1050,123,61,25,362,194,362,204
"28",-89.553166,48.395758,"Diplodia tumefaciens",2.3,124,26,11347,246,-219,465,150,-133,161,-133,721,87,29,31,249,113,248,113
"29",-149.955808,60.485339,"Diplodia tumefaciens",1.4,78,27,7301,169,-116,285,67,3,111,-73,727,116,30,45,303,95,162,181
"30",-120.780403,51.166594,"Diplodia tumefaciens",3.7,109,32,7840,217,-122,339,137,-6,137,-65,442,47,23,22,134,76,134,119
"32",8.31975,46.61035,"Diplodia pyrenophora",2.2,61,27,5666,140,-82,222,94,-45,94,-48,1677,176,113,14,508,358,508,366
"33",-94.643496,49.835058,"Diplodia tumefaciens",2.1,100,20,13039,254,-230,484,180,-158,180,-158,596,91,20,49,255,72,255,72
"34",-149.229419,61.562592,"Diplodia tumefaciens",1.7,103,28,9122,201,-155,356,120,-31,133,-97,416,66,15,52,188,49,162,70
"35",-119.364917,52.975108,"Diplodia tumefaciens",2,111,30,8359,210,-158,368,-83,21,123,-90,684,73,38,18,203,122,180,195
"36",-148.943868,63.732309,"Diplodia tumefaciens",-3.6,114,27,10976,186,-228,414,107,-104,107,-170,391,81,10,68,206,38,206,54
"37",-80.93026,46.46043,"Diplodia tumefaciens",4.2,104,24,11009,250,-179,429,125,-42,178,-106,830,98,51,17,253,166,228,176
"38",-120.04763,38.919828,"Diplodia tumefaciens",6.5,150,45,6323,255,-76,331,-10,148,148,-10,780,138,11,69,373,44,50,373
"39",-78.725634,44.098844,"Diplodia tumefaciens",6.3,97,25,9670,254,-123,377,175,-57,183,-66,830,80,55,11,229,173,226,187
"40",24.72418,60.312017,"Diplodia tumefaciens",4.8,68,22,8124,209,-94,303,141,-20,155,-53,648,79,32,31,223,102,201,133
"41",-68.169099,46.130281,"Diplodia tumefaciens",3.9,126,29,10480,252,-182,434,158,-89,169,-103,1009,103,61,15,287,199,284,220
"42",-96.902993,50.019972,"Diplodia tumefaciens",1.9,115,23,13132,254,-241,495,176,-162,176,-162,522,82,17,52,230,62,230,62
"43",18.114392,59.295538,"Diplodia tumefaciens",7,64,23,7279,222,-48,270,156,10,168,-18,523,65,25,29,181,83,171,113
"44",-95.20685,49.698414,"Diplodia tumefaciens",2,107,21,12970,251,-237,488,176,-159,176,-159,568,90,18,52,249,65,249,65
"45",18.115996,59.29764,"Diplodia tumefaciens",7,64,23,7279,222,-48,270,156,10,168,-18,523,65,25,29,181,83,171,113
"46",10.494675,59.832462,"Diplodia pyrenophora",6.2,67,24,7441,212,-65,277,115,4,160,-32,729,88,35,29,250,119,225,136
"47",-97.01362,50.685484,"Diplodia tumefaciens",1.2,123,24,13220,252,-254,506,170,-147,170,-171,537,81,19,47,227,72,227,72
"48",12.048707,55.614474,"Diplodia rosarum",8.2,60,25,6126,202,-31,233,157,27,161,6,607,66,30,21,186,108,179,117
"49",-135.826898,60.866888,"Diplodia tumefaciens",-1.7,120,27,11367,204,-240,444,106,-5,121,-170,328,41,10,32,114,44,110,77
"50",-150.03299,61.14444,"Diplodia tumefaciens",2.1,80,24,8773,184,-137,321,78,20,134,-88,425,73,17,52,192,54,144,73
"51",12.40581,55.781159,"Diplodia aesculi",8.3,65,27,6205,208,-28,236,157,28,163,7,622,68,31,22,195,110,185,119
"52",-114.254219,51.121635,"Diplodia tumefaciens",2.9,131,33,8964,225,-171,396,140,-22,140,-88,460,85,16,55,205,57,205,62
"53",76.912468,43.219795,"Diplodia tumefaciens",8.1,109,26,10586,285,-121,406,149,-60,212,-60,570,95,26,49,247,86,124,86
"54",-67.163889,45.726813,"Diplodia tumefaciens",5,108,27,9737,244,-147,391,7,-25,171,-82,1100,115,78,12,320,240,263,280
"56",12.555314,55.715472,"Diplodia mamillana",8.4,63,27,6207,210,-21,231,159,31,165,9,625,68,33,20,193,112,184,141
"57",-74.680072,39.460553,"Diplodia tumefaciens",12.1,110,32,8265,295,-45,340,221,136,227,14,1098,113,78,11,303,256,296,259
"58",-123.502917,48.551223,"Diplodia tumefaciens",8.6,80,39,4404,204,1,203,37,143,144,33,1112,194,22,67,555,79,96,500
"59",7.53719,46.97353,"Diplodia tiliae",7.8,80,31,6213,217,-37,254,157,35,157,-2,1034,122,67,18,329,216,329,234
"61",10.182041,56.87093,"Diplodia sorbi",7.6,66,27,6028,198,-44,242,85,22,154,0,634,69,33,23,202,109,175,120
"62",12.277168,55.958666,"Diplodia lonicerae",7.9,62,25,6320,198,-47,245,155,22,160,-1,621,69,29,24,199,105,188,114
"63",80.36,41.29,"Diplodia seriata",9.8,145,31,11005,308,-148,456,226,-39,226,-56,80,18,2,75,42,6,42,6
"64",-151.095278,60.437985,"Diplodia tumefaciens",1.2,93,29,8014,169,-145,314,72,9,114,-89,514,88,21,48,225,70,144,101
"66",-2.800524,52.293913,"Diplodia ilicicola",8.6,68,34,4609,194,-1,195,37,133,147,29,831,88,55,15,254,178,183,232
"67",-94.94669,46.7893,"Diplodia tumefaciens",4,125,26,12186,266,-214,480,188,-127,188,-127,676,108,14,55,295,54,295,54
"68",-79.7859,39.6582,"Diplodia corticola",9,120,34,8354,266,-86,352,175,-22,194,-22,1218,125,80,14,359,265,353,265
"70",-122.24,37.89,"Diplodia mutila",14.1,109,53,3690,252,47,205,95,183,188,95,715,148,1,87,375,9,13,375
"71",-151.058902,60.465627,"Diplodia tumefaciens",1.3,93,29,8078,170,-145,315,73,10,115,-89,518,89,21,47,228,70,145,102
"73",-38,-9,"Diplodia galiicola",22.4,99,67,1908,299,152,147,230,227,242,195,720,101,15,46,277,67,221,207
"74",10.89,34.98,"Diplodia seriata",19,87,35,5484,313,71,242,213,257,262,121,237,37,1,55,92,10,31,79
"76",73.43,61.25,"Diplodia pyrenophora",-2.5,88,18,13698,225,-257,482,153,-180,153,-200,572,80,21,40,228,77,228,88
"77",73.43,61.25,"Diplodia melaena",-2.5,88,18,13698,225,-257,482,153,-180,153,-200,572,80,21,40,228,77,228,88
"81",11.205118,60.7487,"Diplodia juniperi",3.8,77,25,8077,203,-102,305,129,-20,143,-66,626,81,28,36,233,90,227,103
"82",8.68979,58.423435,"Diplodia pyrenophora",7.1,54,24,5979,190,-34,224,85,91,148,-3,1054,127,51,28,363,180,255,225
"83",-38.266667,-9.650009,"Diplodia euterpes",25,104,68,1679,330,178,152,252,256,267,226,582,85,11,47,231,52,120,151
